"Date","Time","Open","High","Low","Close","Up","Down"
03/29/2015,18:00,2484.25,2487.25,2482.25,2482.50,2075,1752
03/29/2015,19:00,2482.50,2483.50,2481.50,2483.00,838,953
03/29/2015,20:00,2483.00,2484.00,2478.75,2481.25,3200,3815
03/29/2015,21:00,2481.50,2484.00,2481.00,2484.00,2168,1460
03/29/2015,22:00,2483.75,2490.00,2483.50,2489.75,5423,2865
03/29/2015,23:00,2490.00,2493.00,2488.75,2490.25,4097,3270
03/30/2015,00:00,2490.25,2492.00,2490.00,2491.50,1880,1783
03/30/2015,01:00,2491.25,2491.50,2489.00,2489.00,1580,2534
03/30/2015,02:00,2489.00,2490.00,2487.75,2489.50,2788,4331
03/30/2015,03:00,2489.25,2500.50,2489.00,2499.00,20677,13120
03/30/2015,04:00,2499.00,2500.00,2497.00,2497.25,6933,6935
03/30/2015,05:00,2497.50,2498.25,2496.75,2496.75,3542,3549
03/30/2015,06:00,2496.75,2497.50,2492.50,2492.75,4515,7277
03/30/2015,07:00,2493.00,2495.00,2492.50,2494.25,5902,5207
03/30/2015,08:00,2494.25,2495.75,2493.00,2493.75,11892,11739
03/30/2015,09:00,2494.00,2507.25,2494.00,2506.25,121742,104637
03/30/2015,10:00,2506.25,2508.00,2502.00,2505.25,90845,95241
03/30/2015,11:00,2505.25,2507.00,2503.25,2506.25,63339,58985
03/30/2015,12:00,2506.00,2509.25,2505.75,2508.75,45327,48328
03/30/2015,13:00,2508.75,2511.75,2508.25,2509.75,40389,37332
03/30/2015,14:00,2509.75,2512.50,2509.50,2512.25,35862,33047
03/30/2015,15:00,2512.25,2513.25,2509.25,2509.75,100470,102614
03/30/2015,16:00,2509.75,2510.50,2505.75,2506.25,44530,46526
03/30/2015,18:00,2506.25,2508.25,2506.25,2507.25,2853,1712
03/30/2015,19:00,2507.25,2507.75,2506.50,2507.50,943,790
03/30/2015,20:00,2507.25,2508.25,2507.00,2508.00,1823,2035
